Zip Code,State,Population,White,Black,AI,Asian,NHOPI,Other,Mixed,Hispanic
19050,PA,"2,668",30.6,55.9,0.1,8.8,0.2,1.4,3.1,4.3
19050,PA,"10,620",47.1,44.6,0.2,3.6,0.0,0.7,3.8,3.3
19050,PA,"11,277",7.6,88.5,0.2,0.8,0.1,0.7,2.2,1.9
19050,PA,"3,483",43.7,44.8,0.2,6.1,0.0,1.3,3.8,4.3
19053,PA,"3,074",89.3,3.8,0.1,3.3,0.0,1.8,1.7,4.5
19053,PA,"3,550",93.6,1.9,0.2,2.4,0.1,0.6,1.2,2.8
19053,PA,"19,342",89.3,4.9,0.1,3.3,0.0,0.9,1.4,3.0
19054,PA,"13,762",93.0,2.5,0.2,1.7,0.0,1.0,1.5,3.5
19054,PA,682,95.2,2.0,0.0,0.6,0.0,0.6,1.6,2.0
19054,PA,"2,993",81.4,8.3,0.1,5.5,0.0,1.8,2.9,7.7
19055,PA,"13,136",88.9,4.5,0.3,1.2,0.1,2.4,2.6,6.3
19055,PA,661,95.3,2.9,0.0,0.1,0.0,0.9,0.8,1.8
19055,PA,127,58.3,28.4,0.0,5.5,0.0,2.4,5.5,9.4
19056,PA,"10,396",90.7,2.8,0.4,2.1,0.0,1.8,2.2,4.7
19056,PA,"5,090",75.4,11.0,0.4,8.0,0.1,2.0,3.1,6.1
19057,PA,"15,514",89.2,5.0,0.2,2.0,0.0,1.5,2.1,5.7
19057,PA,"1,677",46.8,47.1,0.4,0.8,0.0,1.5,3.5,4.3
19060,PA,27,96.3,0.0,0.0,3.7,0.0,0.0,0.0,0.0
19060,PA,"11,341",89.7,2.1,0.1,6.4,0.0,0.4,1.2,1.9
19061,PA,"4,933",87.3,8.1,0.3,1.7,0.0,0.5,2.1,2.6
19061,PA,"3,281",87.6,8.0,0.1,0.6,0.0,0.6,3.2,3.7
19061,PA,"2,397",82.3,13.6,0.1,0.1,0.0,0.3,3.6,3.0
19061,PA,"1,828",76.4,18.9,0.3,0.6,0.0,1.7,2.2,5.5
19061,PA,"7,558",88.9,5.8,0.2,3.2,0.0,0.4,1.5,2.3
19063,PA,88,96.6,2.3,0.0,0.0,0.0,0.0,1.1,0.0
19063,PA,"2,735",91.0,6.4,0.1,1.5,0.0,0.5,0.5,0.9
19063,PA,"5,327",83.4,10.6,0.0,3.5,0.0,0.5,1.9,2.5
19063,PA,392,92.6,2.3,0.0,4.3,0.0,0.3,0.5,2.3
19063,PA,156,98.7,0.6,0.0,0.0,0.0,0.0,0.6,0.0
19063,PA,"27,006",89.8,4.7,0.1,3.7,0.0,0.4,1.3,1.6
19064,PA,"24,459",93.3,1.8,0.1,3.9,0.0,0.2,0.8,1.1
19066,PA,22,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19066,PA,"5,842",92.2,2.2,0.1,3.7,0.0,0.5,1.4,2.6
19067,PA,"8,728",75.7,15.4,0.3,2.0,0.0,3.8,2.7,10.2
19067,PA,"2,425",89.5,1.8,0.1,7.2,0.0,0.5,0.9,2.1
19067,PA,"2,434",91.4,3.5,0.0,2.6,0.0,0.6,1.9,2.5
19067,PA,"37,746",86.8,4.6,0.1,6.0,0.0,0.7,1.7,3.1
19070,PA,"2,669",65.1,25.4,0.3,6.0,0.0,0.6,2.7,2.2
19070,PA,784,91.7,2.9,0.0,3.1,0.0,0.0,2.3,1.8
19070,PA,"3,824",90.8,3.8,0.1,3.7,0.1,0.6,0.9,0.9
19072,PA,"4,232",90.4,1.9,0.1,4.4,0.1,0.3,2.8,2.4
19072,PA,"5,307",90.3,2.5,0.1,5.0,0.0,0.5,1.5,2.2
19073,PA,"18,332",93.5,1.1,0.1,4.1,0.0,0.3,0.9,1.3
19074,PA,"5,890",95.0,1.5,0.1,2.0,0.0,0.6,0.9,1.4
19075,PA,"4,895",89.0,5.7,0.1,2.6,0.0,0.8,1.8,2.5
19075,PA,"2,459",84.7,9.0,0.0,3.5,0.0,1.3,1.6,3.0
19076,PA,"6,454",92.6,3.0,0.2,1.8,0.0,0.6,1.8,1.9
19076,PA,71,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19078,PA,942,95.8,2.3,0.0,0.6,0.0,0.3,1.0,1.9
19078,PA,"6,803",95.4,2.0,0.1,1.1,0.0,0.3,1.1,1.4
19078,PA,"3,322",95.3,1.3,0.0,2.0,0.0,0.1,1.2,1.2
19079,PA,"5,697",32.6,60.6,0.3,2.1,0.0,0.7,3.7,3.2
19079,PA,"3,471",2.2,94.0,0.2,0.1,0.0,0.5,3.0,2.8
19081,PA,"1,074",96.7,0.8,0.1,1.0,0.0,0.4,1.0,1.9
19081,PA,"6,194",82.5,5.0,0.3,7.7,0.1,0.7,3.8,4.9
19081,PA,"2,636",97.1,0.9,0.1,1.0,0.0,0.0,0.8,1.1
19081,PA,433,90.3,1.9,0.2,6.5,0.0,0.2,0.9,1.6
19082,PA,"1,159",13.7,20.1,0.6,56.3,0.9,4.1,4.2,8.5
19082,PA,"39,838",30.4,44.6,0.3,17.9,0.1,3.1,3.6,6.6
19083,PA,68,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19083,PA,65,89.2,0.0,0.0,10.8,0.0,0.0,0.0,0.0
19083,PA,"35,745",91.9,2.1,0.1,4.4,0.0,0.3,1.2,1.7
19085,PA,"8,932",89.1,2.8,0.0,5.6,0.0,0.6,1.8,3.2
19086,PA,521,93.5,1.1,0.2,1.7,0.0,0.8,2.7,1.9
19086,PA,"10,899",88.4,4.1,0.1,5.4,0.1,0.2,1.7,2.0
19087,PA,"4,589",79.1,3.6,0.0,15.7,0.0,0.5,1.1,2.4
19087,PA,"27,634",89.0,3.4,0.1,5.5,0.0,0.5,1.4,2.7
19090,PA,"14,352",82.5,8.7,0.2,5.1,0.0,1.1,2.3,3.4
19090,PA,"4,480",52.6,40.1,0.1,3.8,0.0,0.4,3.1,3.5
19094,PA,"4,406",79.2,16.4,0.2,1.3,0.0,0.8,2.1,3.0
19095,PA,"3,044",79.7,13.6,0.3,3.9,0.1,0.5,2.0,2.8
